descriptor_raw,descriptor_level_1,descriptor_level_2,descriptor_level_3
fruit,fruit,fruit,fruit
rich,body,rich,rich
ripe,fruit,ripe,ripe
pear,fruit,tree fruit,pear
toast,oak,toast,toast
pineappl,fruit,tropical fruit,pineapple
crisp,acid,high acid,crisp
peach,fruit,stone fruit,peach
miner,inorganic,minerality,minerality
vanilla,oak,vanilla,vanilla
lemon,fruit,citrus fruit,lemon
citrus,fruit,citrus fruit,citrus
fresh,acid,medium acid,fresh
butter,microbial,butter,butter
sweet,sweetness,sweet,sweet
creami,microbial,cream,cream
tropic,fruit,tropical fruit,tropical fruit
spice,spice,spice,spice
light,body,light-bodied,light-bodied
soft,tannin,low tannin,soft
tropic fruit,fruit,tropical fruit,tropical fruit
fruiti,fruit,fruit,fruit
bright,acid,high acid,bright
apricot,fruit,stone fruit,apricot
honey,noble rot,beeswax,honey
wood,oak,wood,wood
yellow,visual,yellow,yellow
butter toast,oak,butter toast,butter toast
clean,style,clean,clean
caramel,oak,caramel,caramel
fruit flavor,fruit,fruit,fruit
eleg,style,elegant,elegant
toasti,oak,toast,toast
tight,tannin,high tannin,tight
oaki,oak,oak,oak
appl,fruit,tree fruit,apple
concentr,body,concentrated,concentrated
barrel,oak,oak,oak
cream,microbial,cream,cream
spici,spice,spice,spice
mango,fruit,tropical fruit,mango
yellow fruit,fruit,tree fruit,tree fruit
round,tannin,low tannin,round
bake,alcohol,high alcohol,baked
smoki,oak,smoke,smoke
butteri,microbial,butter,butter
butterscotch,oak,butterscotch,butterscotch
fullbodi,body,full-bodied,full-bodied
power,body,powerful,powerful
refresh,acid,medium acid,refreshing
tangerin,fruit,citrus fruit,tangerine
almond,oak,marzipan,marzipan
stone,inorganic,stone,stone
grapefruit,fruit,citrus fruit,grapefruit
tangi,acid,high acid,tangy
steeli,inorganic,steel,steel
brisk,acid,high acid,brisk
opul,body,opulent,opulent
warm,style,warm,warm
banana,fruit,tropical fruit,banana
juici,fruit,juicy,juicy
candi,fruit,candy,candy
floral,flower,floral,floral
ripe fruit,fruit,ripe,ripe
firm,tannin,high tannin,firm
nectarin,fruit,citrus fruit,nectarine
nut,oak,nut,nut
zest,fruit,citrus fruit,zest
zesti,acid,high acid,zesty
mediumbodi,body,medium-bodied,medium-bodied
citrusi,fruit,citrus fruit,citrus
popcorn,oak,popcorn,popcorn
citrus flavor,fruit,citrus fruit,citrus
lee,microbial,lees,lees
meyer lemon,fruit,citrus fruit,meyer lemon
blossom,flower,blossom,blossom
golden,visual,gold,gold
flavor pineappl,fruit,tropical fruit,pineapple
smoke,oak,smoke,smoke
peach flavor,fruit,stone fruit,peach
cinnamon,spice,cinnamon,cinnamon
creami textur,microbial,cream,cream
jam,fruit,jam,jam
custard,oak,custard,custard
heavi,body,full-bodied,heavy
juic,fruit,juicy,juicy
stone fruit,fruit,stone fruit,stone fruit
flower,flower,floral,floral
herb,herb,herb,herb
citrus fruit,fruit,citrus fruit,citrus
nutti,oak,nut,nut
honeysuckl,noble rot,honeysuckle,honeysuckle
lean,acid,high acid,lean
salt,salinity,salt,salt
bitter,tannin,high tannin,bitter
dri,sweetness,low sweetness,dry
vibrant,acid,high acid,vibrant
papaya,fruit,tropical fruit,papaya
vanilla flavor,oak,vanilla,vanilla
lemoni,fruit,citrus fruit,lemon
rind,fruit,citrus fruit,rind
crÃ¨me brÃ»lÃ©e,oak,crème brulee,crème brulee
close,body,closed,closed
lime,fruit,citrus fruit,lime
bouquet,flower,floral,floral
brisk acid,acid,high acid,brisk
kiwi,fruit,tropical fruit,kiwi
salti,salinity,salt,salt
plump,body,full-bodied,plump
unoak,oak,unoaked,unoaked
pineappl flavor,fruit,tropical fruit,pineapple
toast flavor,oak,toast,toast
spice flavor,spice,spice,spice
guava,fruit,tropical fruit,guava
pith,fruit,citrus fruit,pith
dens,body,dense,dense
sour,microbial,sour,sour
sharp,acid,high acid,sharp
ripe pear,fruit,tree fruit,ripe pear
earthi,inorganic,earth,earth
plum,fruit,red fruit,plum
hazelnut,oak,hazelnut,hazelnut
steel,inorganic,steel,steel
richer,body,rich,rich
medium bodi,body,medium-bodied,medium-bodied
nutmeg,spice,nutmeg,nutmeg
bold,body,full-bodied,full-bodied
chalki,inorganic,chalk,chalk
acid balanc,acid,medium acid,medium acid
modest,body,modest,modest
fleshi,style,fleshy,fleshy
oak,oak,oak,oak
yeasti,microbial,yeast,yeast
acid finish,acid,acid finish,acid finish
asian pear,fruit,tree fruit,asian pear
lemon flavor,fruit,citrus fruit,lemon
corn,oak,corn,corn
lemon zest,fruit,citrus fruit,lemon zest
ripe peach,fruit,stone fruit,ripe peach
oili,inorganic,oily,oily
pithi,fruit,citrus fruit,pith
balanc acid,acid,medium acid,medium acid
apricot flavor,fruit,stone fruit,apricot
resini,herb,resin,resin
flavor peach,fruit,stone fruit,peach
raci,acid,high acid,racy
ripe pineappl,fruit,tropical fruit,ripe pineapple
coconut,oak,coconut,coconut
linger finish,style,lingering finish,lingering finish
flat,acid,low acid,flat
tang,acid,high acid,tangy
flavor pear,fruit,tree fruit,pear
chunki,body,full-bodied,chunky
woodi,oak,wood,wood
pear fruit,fruit,tree fruit,pear
auster,body,austere,austere
fat,body,fat,fat
bread,microbial,bread,bread
rich textur,body,rich texture,rich texture
orang,fruit,citrus fruit,orange
restrain,style,restrained,restrained
brini,salinity,brine,brine
honeydew,fruit,tropical fruit,honeydew
shine,visual,shine,shine
leesi,microbial,lees,lees
pineappl fruit,fruit,tropical fruit,pineapple
hard,tannin,high tannin,hard
buttercream,oak,buttercream,buttercream
ginger,spice,ginger,ginger
flavor light,body,light-bodied,light-bodied
sugari,sweetness,sugar,sugar
peach fruit,fruit,stone fruit,peach
lemon curd,fruit,citrus fruit,lemon curd
fig,fruit,fig,fig
quinc,herb,quince,quince
brown,visual,brown,brown
nervi,acid,high acid,nerve
bake spice,spice,baking spices,baking spices
gold,visual,gold,gold
brioch,microbial,brioche,brioche
herbal,herb,herb,herb
dusti,tannin,dusty,dusty
finish clean,acid,clean finish,clean finish
voluptu,tannin,voluptuous,voluptuous
flamboy,fruit,flamboyant,flamboyant
lemon peel,fruit,citrus fruit,lemon peel
anis,spice,anise,anise
jasmin,flower,jasmine,jasmine
finish crisp,acid ,acid finish,acid finish
bite,acid,high acid,bite
pepper,spice,pepper,pepper
lemonlim,fruit,citrus fruit,lemon-lime
stainless steel,inorganic,steel,steel
pink,visual,pink,pink
meringu,oak,meringue,meringue
walnut,oak,walnut,walnut
toast nut,oak,toasted nut,toasted nut
dryness,sweetness,dry,dry
oil,inorganic,oil,oil
jammi,fruit,jam,jam
silki,tannin,low tannin,silky
meali,style,mealy,mealy
citrusi acid,acid,citrusy acid,citrusy acid
marshmallow,oak,marshmallow,marshmallow
polish,tannin,low tannin,polished
yeast,microbial,yeast,yeast
mediumweight,body,medium-bodied,medium-bodied
oxid,visual,oxidized,oxidized
wet stone,inorganic,wet stone,wet stone
citric,fruit,citrus fruit,citrus
clove,spice,clove,clove
soil,inorganic,soil,soil
flinti,inorganic,flint,flint
vanilla bean,oak,vanilla bean,vanilla bean
weighti,body,full-bodied,full-bodied
unctuous,inorganic,oil,oil
live acid,acid,high acid,live acid
waxi,noble rot,wax,wax
lemoni acid,acid,lemony acid,lemony acid
fine acid,acid,low acid,fine acid
juici acid,acid,juicy acid,juicy acid
sparkler,style,sparkling,sparkling
vanilla custard,oak,vanilla custard,vanilla custard
lemongrass,herb,lemongrass,lemongrass
tart,acid,high acid,tart
ripe apricot,fruit,stone fruit,ripe apricot
meloni,fruit,melon,melon
mellow,body,mellow,mellow
finish rich,body,rich finish,rich finish
suppl,tannin,supple,supple
soft textur,tannin,low tannin,soft texture
bake pear,fruit,tree fruit,baked pear
crisp finish,acid,acid finish,crisp finish
hot,alcohol,high alcohol,hot
stonefruit,fruit,stone fruit,stone fruit
ripe fruiti,fruit,ripe fruit,ripe fruit
fruit ripe,fruit,ripe fruit,ripe fruit
plush,tannin,plush,plush
lemon custard,fruit,lemon custard,lemon custard
cider,fruit,cider,cider
fruit finish,fruit,fruity finish,fruity finish
sleek,body,sleek,sleek
bubbl,style,sparkling,sparkling
resin,herb,resin,resin
acid citrus,acid,citrusy acid,citrusy acid
wateri,body,watery,watery
salin,salinity,saline,saline
finish sweet,sweetness,sweet finish,sweet finish
hay,herb,hay,hay
crispli,acid,crisp,crisp
dust,tannin,dusty,dusty
pastri,microbial,pastry,pastry
pink grapefruit,fruit,citrus fruit,pink grapefruit
tight acid,acid,tight acid,tight acid
chees,microbial,cheese,cheese
veget,herb,vegetal,vegetal
greenappl,fruit,tree fruit,green apple
marzipan,oak,marzipan,marzipan
lemon rind,fruit,citrus fruit,lemon rind
whitefruit,fruit,white fruit,white fruit
acid cut,acid,high acid,cut
finish light,body,light finish,light finish
densiti,body,dense,dense
burnt,alcohol,high alcohol,burn
acid fruit,acid,fruity acid,fruity acid
rock,inorganic,stone,stone
cloy,sweetness,cloying,cloying
superrip,fruit,ripe,super-ripe
clean finish,acid,clean finish,clean finish
flint,inorganic,flint,flint
viscous,visual,viscous,viscous
finish fresh,acid,acid finish,fresh
intens acid,acid,high acid,high acid
medium weight,body,medium-bodied,medium-bodied
grip,tannin,high tannin,gripping
spici finish,spice,spice finish,spice finish
golden mango,fruit,tropical fruit,golden mango
lightbodi,body,light-bodied,light-bodied
woodag,oak,wood,wood
acid light,acid,low acid,light acid
cashew,oak,nut,cashew
grill pineappl,fruit,tropical fruit,grilled pineapple
flabbi,acid,low acid,flabby
refresh acid,acid,high acid,refreshing acid
robust,body,full-bodied,robust
vibrant acid,acid,high acid,vibrant acid
sweet finish,sweetness,sweet finish,sweet finish
marmalad,fruit,marmalade,marmalade
ampl acid,acid,high acid,high acid
toffe,fruit,toffee,toffee
extract,fruit,extracted,extracted
dilut,body,diluted,diluted
mouss,style,bubbles,mousse
roast nut,oak,roasted nut,roasted nut
exot fruit,fruit,tropical fruit,exotic fruit
tropicalfruit,fruit,tropical fruit,tropical fruit
golden color,visual,golden,golden
firm acid,acid,firm acid,firm acid
lemondrop,fruit,citrus fruit,lemondrop
gravenstein,fruit,tree fruit,gravenstein apple
tight wound,body,tight,tight
slate,inorganic,slate,slate
restraint,style,restrained,restrained
lemon pith,fruit,citrus fruit,lemon pith
chamomil,flower,chamomile,chamomile
water,body,watery,watery
pineappl custard,fruit,pineapple custard,pineapple custard
miner finish,inorganic,mineral finish,mineral finish
overrip,fruit,overripe,overripe
creami mouthfeel,microbial,creamy mouthfeel,creamy mouthfeel
toast hazelnut,oak,toasted hazelnut,toasted hazelnut
finish soft,tannin,soft finish,soft finish
rough,tannin,high tannin,rough
bland,style,bland,bland
cut acid,acid,high acid,cutting acid
mouthwat acid,acid,mouthwatering acid,mouthwatering acid
apricot jam,fruit,stone fruit,apricot jam
lyche,fruit,tropical fruit,lychee
fresh finish,acid,fresh finish,fresh finish
kumquat,fruit,citrus fruit,kumquat
barrel flavor,oak,barrel flavor,barrel flavor
fennel,herb,fennel,fennel
dull,style,dull,dull
peachi,fruit,stone fruit,peach
mineraldriven,inorganic,mineral,mineral
zingi,acid,high acid,zingy
lemon meringu,fruit,lemon meringue,lemon meringue
acid fine,acid,low acid,fine acid
sweet pineappl,fruit,tropical fruit,sweet pineapple
earth,inorganic,earth,earth
grippi,tannin,high tannin,grippy
mandarin,fruit,citrus fruit,mandarin
brown butter,oak,brown butter,brown butter
finish linger,style,lingering finish,lingering finish
sweet fruit,fruit,sweet fruit,sweet fruit
acid hint,acid,low acid,low acid
dri herb,herb,dried herbs,dried herbs
sizzl,acid,sizzling,sizzling
acid lift,acid,lifting acid,lifting acid
soft acid,acid,soft acid,soft acid
rich yellow,visual,rich yellow,rich yellow
depth flavor,style,deep flavor,deep flavor
ripe appl,fruit,tree fruit,ripe apple
cantaloup,fruit,melon,cataloupe
light toast,oak,light toast,light toast
grass,herb,grass,grass
exuber,style,exuberant,exuberant
light toasti,oak,light toast,light toast
fruitforward,fruit,fruit-forward,fruit-forward
tangi acid,acid,tangy acid,tangy acid
buoy,acid,buoyant,buoyant
citrusi finish,fruit,citrus fruit,citrusy finish
underrip,fruit,underripe,underripe
citrus zest,fruit,citrus fruit,citrus zest
lavish,body,lavish,lavish
yellow flower,flower,yellow flower,yellow flower
light acid,acid,light acid,light acid
heat,alcohol,high alcohol,hot
lemon juic,fruit,citrus fruit,lemon juice
attract acid,acid,attractive acid,attractive acid
straw,visual,straw,straw
mint,herb,mint,mint
lemon blossom,flower,lemon blossom,lemmon blossom
spice finish,spice,spice finish,spice finish
melt butter,oak,melted butter,melted butter
pickl,acid,pickled,pickled
preserv lemon,fruit,citrus fruit,preserved lemon
ripe citrus,fruit,citrus fruit,ripe citrus
sweet caramel,oak,sweet caramel,sweet caramel
bright fruit,fruit,bright fruit,bright fruit
cake,microbial,cake,cake
stalki,herb,stalky,stalky
acid tangi,acid,tangy acid,tangy acid
custardi,oak,custard,custard
peach pit,fruit,stone fruit,peach pit
cooki,oak,cookie,cookie
metal,inorganic,metal,metal
honeycomb,noble rot,honeycomb,honeycomb
yellow peach,fruit,stone fruit,yellow peach
pungent,style,pungent,pungent
grapefruit pith,fruit,citrus fruit,grapefruit pith
crisp aftertast,acid,crisp finish,crisp finish
finish acid,acid,acid finish,acid finish
sourdough,microbial,sourdough,sourdough
toast cinnamon,oak,toasted cinnamon,toasted cinnamon
bonedri,sweetness,bone dry,bone dry
residu sugar,sweetness,sugar residue,sugar residue
brine,salinity,brine,brine
grill peach,fruit,stone fruit,grilled peach
citrus finish,fruit,citrus finish,citrus finish
rich acid,acid,rich acid,rich acid
poach pear,fruit,tree fruit,poached pear
yellow pear,fruit,tree fruit,yellow pear
headi,alcohol,high alcohol,heady
acid firm,acid,firm acid,firm acid
classi,style,classy,classy
zippi,acid,high acid,zippy
passion fruit,fruit,tropical fruit,passion fruit
pear skin,fruit,tree fruit,pear skin
plenti acid,acid,high acid,high acid
toast wood,oak,toasted wood,toasted wood
finish bright,acid,acid finish,bright finish
creami finish,microbial,creamy finish,creamy finish
fruitdriven,fruit,fruit-forward,fruit-forward
softer,body,soft,soft
finish spici,spice,spice finish,spice finish
citrus rind,fruit,citrus fruit,citrus rind
brown sugar,oak,brown sugar,brown sugar
acid soft,acid,soft acid,soft acid
acid refresh,acid,high acid,refreshing acid
finish creami,microbial,creamy finish,creamy finish
moder acid,acid,medium acid,medium acid
intens fruit,fruit,intense fruit,intense fruit
bosc pear,fruit,tree fruit,bosc pear
caramel butterscotch,oak,caramel butterscotch,caramel butterscotch
marcona almond,oak,marcona almond,marcona almond
pepperi,spice,pepper,pepper
lemon drop,fruit,citrus fruit,lemondrop
lumin,visual,luminous,luminous
citrus pith,fruit,citrus fruit,citrus pith
sorbet,fruit,sorbet,sorbet
sugari sweet,sweetness,sugary sweet,sugary sweet
overoak,oak,over-oaked,over-oaked
oliv,herb,olive,olive
yogurt,microbial,yoghurt,yoghurt
pop,body,pop,pop
yellowfruit,fruit,yellow fruit,yellow fruit
vibranc,acid,high acid,vibrant
drier,sweetness,dry,dry
sweet butter,microbial,sweet butter,sweet butter
lemon acid,acid,lemony acid,lemony acid
light miner,inorganic,light minerality,light minerality
welloak,oak,well-oaked,well-oaked
barrel note,oak,barrel flavor,barrel flavor
sharp acid,acid,high acid,sharp acid
honey finish,noble rot,honey finish,honey finish
bake bread,microbial,baked bread,baked bread
fruiti ripe,fruit,ripe fruit,ripe fruit
miner nose,inorganic,minerality nose,minerality nose
dill,herb,dill,dill
fruit generous,fruit,generous fruit,generous fruit
toast finish,oak,toast finish,toast finish
toast fruit,fruit,toasted fruit,toasted fruit
acid strong,acid,high acid,high acid
bake appl,fruit,tree fruit,baked apple
graham cracker,oak,graham cracker,graham cracker
candi pineappl,fruit,tropical fruit,candied pineapple
citrus peel,fruit,citrus fruit,citrus peel
edgi,acid,high acid,edgy
mushroom,herb,mushroom,mushroom
toasti finish,oak,toast finish,toast tinish
carri finish,body,lingering finish,lingering finish
clean acid,acid,clean acid,clean acid
syrupi,body,syrupy,syrupy
petrol,inorganic,petrol,petrol
hearti,body,hearty,hearty
syrup,body,syrupy,syrupy
gravelli,inorganic,gravel,gravel
oakinspir,oak,oak-inspired,oak-inspired
berri,fruit,red fruit,berry
chewi,tannin,medium tannin,chewi
fruit juic,,,
asian spice,spice,asian spice,asian spice
funki,style,funky,funky
lemoni finish,fruit,lemony finish,lemony finish
tannic,tannin,high tannin,tannin
lengthi finish,body,lengthy finish,lengthy finish
floweri,flower,flower,flower
soft finish,tannin,soft finish,soft finish
light bodi,body,light-bodied,light-bodied
sticki,sweetness,sticky,sticky
rich vanilla,oak,rich vanilla,rich vanilla
sweet pear,fruit,tree fruit,sweet pear
sizzl acid,acid,sizzling acid,sizzling acid
refresh finish,acid,acid finish,refreshing finish
sweet acid,acid,sweet acid,sweet acid
stainlesssteel,inorganic,stainless steel,stainless steel
angular,tannin,angular,angular
lemon candi,fruit,lemon candy,lemon candy
toast pineappl,fruit,tropical fruit,toasted pineapple
snappi,acid,snappy,snappy
orchard,flower,orchard,orchard
hollow,fruit,low fruit,hollow
acid sweet,acid,sweet acid,sweet acid
oakdriven,oak,oak-driven,oak-driven
tropic citrus,fruit,citrus fruit,tropical citrus
woodspic,oak,wood spice,wood spice
dri apricot,fruit,stone fruit,dried apricot
salt caramel,oak,salty caramel,salty caramel
chiffon,fruit,citrus fruit,chiffon
botryti,noble rot,botrytis,botrytis
grassi,herb,grass,grass
butter cream,oak,buttercream,buttercream
lemon cream,oak,lemon cream,lemon cream
ripe mango,fruit,tropical fruit,ripe mango
citrus blossom,flower,citrus blossom,citrus blossom
ripe nectarin,fruit,tree fruit,ripe nectarine
tobacco,oak,tobacco,tobacco
beeswax,noble rot,beeswax,beeswax
pale,visual,pale,pale
generous fruit,fruit,generous fruit,generous gruit
finish oaki,oak,oaky finish,oaky finish
bit sweet,sweetness,medium sweetness,medium sweetness
zing,acid,high acid,zingy
medium acid,acid,medium acid,medium acid
finish toasti,oak,toast finish,toast finish
astring,tannin,high tannin,astringent
lightweight,body,light-bodied,light-bodied
yellow plum,fruit,plum,yellow plum
candi lemon,fruit,citrus fruit,candied lemon
finish smooth,tannin,smooth finish,smooth finish
woodgril,oak,wood grill,wood grill
peach custard,fruit,peach custard,peach custard
sweet candi,sweetness,sweet candy,sweet candy
acid smooth,acid,smooth acid,smooth acid
pulpi,fruit,pulpy,pulpy
yellow color,visual,yellow,yellow
golden honey,noble rot,golden honey,golden honey
